competency_id,competency_name,competency_criteria,skill_id,skill_name,category_id,category_name,level_5_exceptional,level_4_proficient,level_3_competent,level_2_needs_guidance,level_1_inadequate
11,Statistical Analysis,"Can perform descriptive and inferential statistics using base R, stats, and other packages",2,R,1,Programming,"Independently selects and implements advanced statistical methods in R, tailoring the approach based on data characteristics and justifying choices with a deep understanding of underlying assumptions. Clearly and concisely communicates nuanced interpretations of complex statistical results and can adapt techniques to address novel or challenging aspects of the data.","Accurately and efficiently performs standard statistical analyses in R, selecting appropriate methods for a given scenario and confidently interpreting the results with minimal guidance. Demonstrates a solid understanding of statistical concepts and can troubleshoot common errors in R code related to statistical analysis.",Applies basic R syntax to conduct common statistical tests but may require guidance in choosing the appropriate method or interpreting the output effectively. Can execute code to perform statistical calculations but may struggle with more complex scenarios or require some prompting.,"Demonstrates a limited understanding of statistical analysis concepts and requires significant prompting to implement basic statistical tests in R. Struggles to interpret the results or troubleshoot errors independently, often making mistakes in syntax or application.","Lacks a fundamental understanding of statistical analysis principles and is unable to translate them into R code, even with assistance. Cannot articulate basic concepts related to statistical methods or interpret simple statistical outputs."
12,ggplot2 & Visualization,Can create sophisticated plots with ggplot2 using the grammar of graphics,2,R,1,Programming,"Expertly crafts complex and insightful visualizations using advanced ggplot2 features, tailoring plots to effectively communicate nuanced data patterns. Confidently explains visualization design choices based on principles of effective data storytelling and offers novel visualization approaches.","Fluently constructs a variety of ggplot2 visualizations, customizing them to clearly represent data and answer specific analytical questions. Effectively explains code and visualization design choices, demonstrating a strong grasp of the grammar of graphics and common troubleshooting techniques.",Creates standard ggplot2 plots with minimal customization and demonstrates a basic understanding of the underlying principles. May require some guidance for complex plots or troubleshooting but can generally follow established visualization procedures.,"Demonstrates limited ability to create ggplot2 plots independently and struggles with even basic customizations. Requires significant prompting and guidance to implement visualizations, often misinterpreting the grammar of graphics.",Shows minimal understanding of ggplot2 and cannot create even basic visualizations without substantial assistance. Lacks fundamental knowledge of plotting syntax and data visualization principles.
13,R Markdown & Reporting,"Can produce reproducible reports, dashboards, and presentations with R Markdown and Shiny",2,R,1,Programming,"Independently develops complex, highly customized R Markdown reports, incorporating advanced features such as parameterized reports or custom CSS styling. Proactively identifies and addresses potential reporting challenges and mentors others on best practices in reproducible research.",Confidently creates well-structured and documented R Markdown reports using a variety of output formats and demonstrates a solid understanding of YAML header options and R code chunk customization. Effectively troubleshoots rendering issues and explains technical choices with clarity.,"Creates basic R Markdown documents with standard output formats, incorporating R code chunks and Markdown syntax elements, but may need assistance with customization or troubleshooting more complex issues. Adequately explains the purpose of different features and their basic usage.","Requires significant guidance to create even simple R Markdown documents and struggles to customize reports or troubleshoot errors independently. Demonstrates a limited understanding of output formats, YAML headers, or R code chunk options.","Shows little to no familiarity with R Markdown, cannot explain its purpose or basic functionality, and is unable to create even a minimal R Markdown document. Is unable to identify or resolve even basic rendering issues."
14,Performance & Parallelization,"Understands strategies for parallel computing (e.g., parallel, foreach) to speed up R workflows",2,R,1,Programming,"Rapidly identifies performance bottlenecks in R code, suggests and justifies sophisticated optimization techniques (e.g., efficient algorithms, optimized data structures), and demonstrates mastery of parallelization strategies, including consideration of communication overhead.","Quickly identifies common performance bottlenecks in R code, proposes appropriate optimization techniques (e.g., vectorization, pre-allocation), and implements basic parallelization strategies using packages like `parallel` or `foreach` with clear understanding of trade-offs.","Identifies basic performance bottlenecks in R code with some prompting, suggests common optimization techniques, and demonstrates awareness of parallelization concepts, but might struggle with complex scenarios or advanced packages.","Struggles to identify performance bottlenecks in R code, needs significant prompting to suggest optimization techniques, and exhibits limited knowledge of parallelization strategies beyond basic syntax.",Fails to identify performance bottlenecks in R code or suggest relevant optimization techniques. Demonstrates no understanding of parallelization concepts or relevant R packages.
15,Core Libraries,"Understands Java collections, concurrency utilities, and I/O classes for building robust applications",3,Java,1,Programming,Demonstrates exceptional knowledge of Java core libraries by selecting and effectively utilizing advanced features such as concurrent collections or NIO for optimal performance. Explains complex design choices and tradeoffs with clarity and precision.,"Confidently uses core Java libraries (Collections, IO, Concurrency) to implement solutions that adhere to best practices and handle edge cases effectively. Explains the reasoning behind library choices and can optimize code for performance.","Correctly applies commonly used Java core libraries to solve standard programming problems, such as using Collections for data manipulation or IO for file processing. May require minor guidance on choosing the optimal library or class for specific scenarios.","Demonstrates basic familiarity with Java core libraries but struggles to apply them effectively without significant prompting, often requiring assistance in selecting the appropriate classes or methods. Shows limited understanding of performance implications or best practices.","Shows a fundamental lack of understanding of basic Java core libraries and is unable to use them to solve even simple problems, even with guidance. Cannot articulate the purpose of common core library components."
16,Generics,Can design and use generic classes and methods for type-safe reusable components,3,Java,1,Programming,"Independently designs and implements complex generic solutions incorporating variance, demonstrating a deep understanding of type erasure and its implications. Clearly articulates tradeoffs between different approaches and proactively identifies potential issues, suggesting optimal solutions.","Confidently applies generics in diverse scenarios using best practices, including bounded types and wildcards, and effectively handles type-related errors. Clearly explains technical decisions and demonstrates a strong understanding of the benefits of using generics.","Correctly uses generics with collections and simple classes, understanding the basic syntax and purpose. Can identify common pitfalls related to type safety but may require some guidance with more advanced concepts like complex type hierarchies or wildcard usage.","Demonstrates basic familiarity with generics but requires prompting to implement them correctly, often struggling with syntax or type-related errors. Struggles to explain the benefits of generics or identify appropriate use cases without assistance.","Shows a fundamental misunderstanding of generics principles and is unable to use them effectively in code. Cannot articulate basic concepts related to type parameters or type safety, even when prompted."
17,Concurrency,"Can write thread-safe code using synchronized blocks, locks, and concurrent data structures",3,Java,1,Programming,"Demonstrates expert-level understanding of Java Concurrency, implementing complex concurrent solutions with optimal performance and minimal contention. Proactively identifies and mitigates subtle concurrency issues, such as memory visibility problems and lock contention, and explains advanced concepts like the Java Memory Model fluently.","Confidently implements robust and efficient concurrent solutions using appropriate synchronization techniques and concurrent collections. Accurately identifies and resolves common concurrency problems like race conditions and deadlocks, and clearly explains the reasoning behind design choices.","Implements basic concurrent tasks using threads, locks, and synchronized blocks, demonstrating a functional understanding of concurrency principles. Can identify and address simple race conditions but may require some guidance in more complex scenarios involving multiple threads or shared resources.","Demonstrates a basic awareness of concurrency concepts but struggles to implement correct and efficient solutions without significant prompting. Often makes errors related to synchronization, data visibility, or thread safety, and struggles to articulate the impact of these errors.","Shows a fundamental lack of understanding of Java Concurrency principles and is unable to implement even simple concurrent tasks correctly. Cannot explain basic concepts like threads, locks, or synchronization, and consistently introduces race conditions and other concurrency errors."
18,Build & Dependency Management,Can manage project builds and dependencies with Maven or Gradle,3,Java,1,Programming,"Designs and implements highly customized and efficient build configurations, demonstrating deep understanding of advanced build concepts and dependency management strategies. Proactively identifies and resolves complex build-related issues and optimizes build processes for performance.","Confidently sets up and manages robust build environments using industry-standard tools like Maven or Gradle, including defining dependencies, plugins, and build lifecycle phases. Explains build configurations clearly and effectively resolves common dependency conflicts.","Creates and maintains basic build configurations using Maven or Gradle, including adding dependencies and running standard build tasks. Understands fundamental build concepts and can resolve simple dependency issues with some guidance.",Requires significant guidance to set up and manage even simple build configurations. Demonstrates incomplete understanding of build concepts and struggles with dependency resolution.,"Lacks basic knowledge of build tools (Maven, Gradle) and dependency management principles. Is unable to create even the simplest build configuration or articulate the purpose of dependency management."
19,Unit Testing,"Writes comprehensive tests using JUnit or TestNG, including parameterized tests and coverage analysis",3,Java,1,Programming,"Designs comprehensive unit testing strategies, proactively identifies and addresses complex edge cases, and effectively applies advanced testing techniques like property-based testing or mutation testing. Articulates trade-offs between different testing approaches and mentors others on best practices.","Implements well-structured unit tests using mocking frameworks effectively, achieving high code coverage and handling common failure scenarios gracefully. Explains testing decisions clearly and suggests improvements to existing test suites.","Writes basic unit tests for standard scenarios, understands the purpose of assertions and can use them appropriately, though might require some guidance on edge cases or complex mocking scenarios. Explains the general purpose of unit testing and its benefits.","Requires significant prompting to write even simple unit tests, struggles with mocking or handling error conditions, and demonstrates a limited understanding of code coverage. Has difficulty explaining the purpose of specific tests or assertions.","Demonstrates a fundamental lack of understanding of unit testing principles, cannot write basic tests even with assistance, and is unable to explain core concepts like assertions or mocking."
20,Spring Framework,Understands Spring Boot for building RESTful services and dependency injection mechanisms,3,Java,1,Programming,"Demonstrates mastery of Spring, designing and implementing complex features with advanced concepts like AOP, custom annotations, or transaction management strategies effectively. Articulates architectural considerations with ease and proactively identifies optimization opportunities related to Spring configuration and performance.","Confidently implements Spring-based applications, utilizing features like Dependency Injection, Spring MVC, or Spring Data effectively. Explains design choices clearly and applies best practices for configuration, testing, and dependency management.","Applies Spring concepts to solve standard programming tasks, using features such as dependency injection, basic AOP or REST controllers. Can implement simple applications with guidance and correctly configures common Spring components.",Demonstrates basic familiarity with Spring but requires assistance to implement even simple features or configure common components. Struggles to explain design decisions and requires significant prompting to identify optimal approaches.,Shows a fundamental misunderstanding of Spring concepts and cannot implement even basic functionalities without extensive help. Lacks the ability to articulate core concepts or identify basic Spring components.
21,DOM Manipulation,Can efficiently select and manipulate DOM elements using vanilla JavaScript or frameworks,4,JavaScript,1,Programming,"Independently implements highly efficient DOM manipulations using modern techniques, anticipating potential performance bottlenecks and demonstrating expert-level understanding of the DOM API. Clearly and concisely explains complex optimization strategies and can debug intricate DOM-related issues with ease.","Confidently implements common DOM manipulations following best practices for efficiency and maintainability, such as event delegation and minimizing reflows. Clearly explains the reasoning behind their code and handles potential edge cases effectively.","Correctly implements basic DOM manipulations like adding, removing, and modifying elements and event listeners, but may require some guidance on more complex tasks or performance optimization. Communicates basic understanding of the DOM structure and manipulation techniques.","Demonstrates a limited understanding of DOM manipulation, requiring significant guidance to implement even simple tasks and struggles with event handling or element selection. Has difficulty explaining the purpose or function of their code.","Shows a fundamental lack of understanding of DOM manipulation concepts, is unable to implement even basic tasks without extensive assistance, and cannot articulate the role of the DOM in web development."
22,ES6+ Features,"Understands modern JavaScript syntax (arrow functions, destructuring, modules) and applies best practices",4,JavaScript,1,Programming,"Fluently utilizes advanced ES6+ features like proxies or generators to solve complex problems efficiently, and articulates nuanced performance implications related to feature usage. Can proactively identify and refactor legacy code to leverage modern JavaScript syntax for improved readability and maintainability.","Confidently implements solutions using a wide range of ES6+ features such as destructuring, spread syntax, and async/await, and effectively explains the benefits of these features over older JavaScript patterns. Debugs and resolves common issues related to ES6+ features with minimal assistance.","Correctly applies basic ES6+ features like arrow functions, `let` and `const`, and template literals in common scenarios, and can describe the fundamental differences between ES5 and ES6+ syntax. May require some guidance on more advanced or less frequently used features.",Demonstrates some awareness of ES6+ features but struggles to implement them correctly or to explain their purpose effectively. Requires significant prompting or correction when using ES6+ syntax and often defaults to older JavaScript patterns.,Lacks a basic understanding of core ES6+ features and is unable to use them effectively in a coding task. Cannot articulate the benefits of using modern JavaScript syntax and struggles with fundamental concepts like scope and variable declaration.
23,Asynchronous Patterns,"Uses callbacks, Promises, and async/await for non-blocking operations",4,JavaScript,1,Programming,"Masterfully applies advanced asynchronous patterns, such as Observables or advanced Promise compositions, to solve complex problems and optimizes for performance. Explains the intricacies of the event loop and can compare/contrast different asynchronous approaches with insightful analysis.","Confidently implements asynchronous operations using Promises and async/await, handles errors effectively, and refactors callback-based code into cleaner asynchronous patterns. Clearly explains the reasoning behind chosen asynchronous strategies and adheres to best practices.",Implements basic asynchronous operations using Promises or async/await with some guidance and understands the general concept of non-blocking execution. Can handle straightforward asynchronous tasks but may require assistance with error handling or more complex scenarios.,"Demonstrates a limited understanding of asynchronous JavaScript, struggling to implement patterns correctly without significant assistance or to handle errors effectively. May confuse different asynchronous patterns or demonstrate misconceptions about their behavior.","Lacks a basic understanding of asynchronous JavaScript principles and cannot implement even simple asynchronous operations or explain fundamental concepts like callbacks, Promises, or async/await."
24,Node.js,"Builds server-side applications, handles routing, and manages packages via npm or Yarn",4,JavaScript,1,Programming,"Demonstrates expert-level understanding of Node.js architecture, including event loop, streams, and scaling techniques. Independently designs and implements complex, high-performance APIs and effectively communicates tradeoffs in architectural decisions.","Confidently develops robust Node.js applications using asynchronous programming patterns (Promises, async/await). Implements best practices for code organization, testing, and security, explaining the rationale behind design choices.","Develops functional Node.js applications, demonstrating understanding of basic asynchronous operations and module usage. Can implement common API endpoints and handle basic error scenarios, but may require guidance on complex architectures or optimizations.","Demonstrates basic familiarity with Node.js syntax and module imports, but struggles with asynchronous control flow and error handling. Requires significant guidance to implement even simple API endpoints or debug common issues.","Shows limited or no understanding of Node.js fundamentals, including asynchronous programming and module system. Cannot implement basic server-side logic or articulate core concepts even with prompting."
25,Layout,"Arranges charts, legends, and text for optimal information hierarchy",5,Design Principles,2,Data Visualization,"Quickly identifies the most effective layout options based on data type and user needs, justifying choices with data-driven rationale and anticipating potential usability challenges. Expertly communicates design decisions and can dynamically adapt to evolving requirements.","Selects appropriate layouts for a given visualization task, clearly explaining the reasoning behind design choices and incorporating best practices for visual hierarchy and readability. Demonstrates a strong understanding of how layout impacts data interpretation and user experience.","Chooses functional layouts that present data adequately, understands basic layout principles such as visual hierarchy and spacing, but may miss opportunities for optimization or fail to fully address accessibility concerns. Can describe the layout choices but may struggle to justify them with strong reasoning.","Struggles to consistently select appropriate layouts, requires prompting to consider visual hierarchy and readability, and provides limited justification for design choices. May demonstrate difficulty in organizing information effectively and creating a clear visual flow.","Demonstrates a lack of understanding of fundamental layout principles, struggles to arrange elements logically, and is unable to articulate a coherent rationale for any layout decisions. Produces cluttered or confusing visualizations that hinder data comprehension."
26,Accessibility,Ensures colorblind-friendly palettes and adequate text readability,5,Design Principles,2,Data Visualization,"Proactively identifies and addresses potential accessibility issues in data visualizations, exceeding WCAG guidelines and demonstrating a deep understanding of inclusive design principles.  Suggests innovative approaches to enhance accessibility beyond standard practices and advocate for user needs.","Confidently applies accessibility best practices to data visualizations, adhering to WCAG guidelines and explaining the rationale behind design choices.  Independently implements solutions for common accessibility challenges such as color contrast and alternative text.","Understands fundamental accessibility principles in data visualization and can implement basic solutions with minimal guidance, such as providing alternative text and ensuring sufficient color contrast.  Recognizes common accessibility issues and seeks clarification when faced with complex challenges.",Demonstrates a basic awareness of accessibility in data visualization but struggles to apply it effectively without significant prompting and direction. Requires assistance with tasks such as selecting appropriate color palettes and writing descriptive alternative text.,Lacks a fundamental understanding of accessibility principles in data visualization and cannot identify or address common accessibility issues.  Demonstrates little to no knowledge of WCAG guidelines or best practices.
27,Distributions,"Can identify, visualize, and apply appropriate probability distributions",6,Probability,3,Statistics,"Quickly identifies appropriate distributions for complex real-world problems, including non-obvious and creatively modeled scenarios, and thoroughly explains their limitations. Proposes innovative solutions and adapts approaches when underlying assumptions are violated.","Confidently applies correct distributions to solve standard problems, demonstrating a solid understanding of underlying assumptions and their impact. Explains relationships between distributions and handles edge cases effectively.","Identifies appropriate distributions in straightforward scenarios and performs basic calculations. Adequately explains distribution properties, although may struggle with complex problems or non-obvious cases.",Demonstrates some familiarity with probability distributions but struggles to apply this knowledge effectively without assistance. Requires prompting to identify distributions or perform accurate calculations.,Shows a fundamental lack of understanding of probability distributions and cannot perform basic calculations. Unable to articulate basic concepts even with prompting.
28,Bayesian Analysis,"Understands Bayesian inference, prior/posterior distributions, and can perform Bayesian updating",6,Probability,3,Statistics,"Designs and justifies complex Bayesian models for novel scenarios, explaining the impact of prior selection and model assumptions with deep insight. Proactively identifies potential limitations and suggests alternative Bayesian approaches.","Constructs and implements Bayesian models for standard problems, accurately updating beliefs based on new data and providing clear interpretations. Articulates reasoning behind model choices and assesses model sensitivity.","Applies Bayes' theorem in simple scenarios, calculating posterior probabilities given prior probabilities and likelihoods. Explains the basic principles of Bayesian analysis, but may struggle with model selection and interpretation.",Demonstrates some awareness of Bayesian concepts but requires significant prompting to apply them correctly. Struggles to set up Bayesian problems or interpret results without assistance.,"Shows little to no understanding of Bayesian principles or Bayes' theorem. Cannot explain the concepts of prior, likelihood, or posterior probability, even with prompting."
29,Monte Carlo Simulation,Implements random sampling to simulate complex systems and estimate probabilities,6,Probability,3,Statistics,"Independently designs and implements efficient Monte Carlo simulations for complex scenarios, including appropriate variance reduction techniques. Explains the theoretical underpinnings, limitations, and potential biases of the chosen approach with clarity and insight, and adapts the approach fluidly when presented with edge cases or novel variations.","Designs and implements correct and reasonably efficient Monte Carlo simulations for moderately complex problems, demonstrating a good understanding of the underlying probability distributions and random number generation. Clearly communicates the simulation design, assumptions, and limitations, and can suggest common variance reduction approaches.","Implements Monte Carlo simulations for standard problems with some guidance, demonstrating a basic understanding of the core principles. Explains the general approach and underlying assumptions but may struggle with more complex scenarios or optimization strategies. Identifies the need for random number generation but might need prompting to select a good method.","Requires significant guidance to implement even simple Monte Carlo simulations and struggles to explain the underlying probabilistic concepts. Demonstrates limited understanding of random number generation and variance reduction, and requires prompting to identify appropriate parameters for the simulation.",Demonstrates a fundamental misunderstanding of Monte Carlo simulation principles and is unable to apply the technique even with substantial guidance. Cannot articulate the basic concepts or implement a working solution even for trivial problems.
30,Parametric Tests,"Performs t-tests, ANOVA, and regression-based hypothesis tests",7,Hypothesis Testing,3,Statistics,"Masterfully selects and justifies the most appropriate parametric test based on data characteristics, research question, and underlying assumptions, including consideration of power and effect size. Articulately explains nuances of test selection and potential non-parametric alternatives if parametric assumptions are violated.","Accurately selects and applies a suitable parametric test while clearly explaining the underlying assumptions, limitations, and interpretations of the results, and demonstrating a solid understanding of industry best practices for assumption checking.","Chooses a relevant parametric test, understands the basic assumptions, and can interpret the p-value and confidence interval, but may require some prompting regarding assumption checking or test justification.","Identifies a somewhat relevant test but struggles to articulate the underlying assumptions, properly apply the test, or accurately interpret the results without significant guidance.","Demonstrates a lack of understanding regarding parametric hypothesis testing, failing to select an appropriate test or interpret the results, indicating fundamental gaps in statistical knowledge."
31,Non-parametric Tests,Applies rank-based and other non-parametric methods when assumptions are violated,7,Hypothesis Testing,3,Statistics,"Independently selects the optimal non-parametric test for complex scenarios, thoroughly justifies the choice based on data characteristics and assumptions, and anticipates potential challenges in interpretation. Articulates nuanced understandings of the chosen test's properties and limitations with clear and confident communication.","Consistently chooses appropriate non-parametric tests for various scenarios, explains the underlying assumptions and rationale for the selection, and accurately interprets the results. Clearly communicates the process and demonstrates a strong understanding of the tests' applications.","Applies common non-parametric tests correctly in standard situations, identifies when a non-parametric approach is needed, and interprets results with reasonable accuracy. Can explain basic concepts but may require prompting for less common scenarios or more complex interpretations.",Demonstrates some familiarity with non-parametric tests but requires prompting to select the appropriate test or interpret the results correctly. Struggles to explain the underlying assumptions or justify the choice of test without significant guidance.,Lacks a fundamental understanding of non-parametric tests and cannot apply them even in simple scenarios. Is unable to articulate basic concepts related to their appropriate use or interpret the output.
